Component, Time (ms)
Task time, 1.002
Task time, 0.693
Task time, 0.782
Task time, 0.704
Task time, 0.77
Task time, 1.366
Task time, 0.852
Task time, 1.072
Task time, 1.085
Task time, 0.634
Task time, 1.026
Task time, 1.398
Task time, 0.73
Task time, 1.109
Task time, 0.884
Task time, 1.075
Task time, 0.617
Task time, 0.622
Task time, 1.284
Task time, 1.409
Task time, 0.648
Task time, 1.509
Task time, 1.461
Task time, 1.174
Task time, 1.197
Task time, 1.196
Task time, 0.983
Task time, 1.365
Task time, 0.988
Task time, 0.693
Task time, 0.685
Task time, 1.58
Task time, 0.678
Task time, 0.685
Task time, 0.678
Task time, 0.674
Task time, 0.686
Task time, 0.791
Task time, 0.716
Task time, 1.241
Task time, 0.992
Task time, 1.318
Task time, 0.977
Task time, 1.287
Task time, 1.028
Task time, 1.223
Task time, 0.695
Task time, 0.975
Task time, 1.025
Task time, 1.224
Task time, 0.682
Task time, 0.739
Task time, 0.764
Task time, 0.777
Task time, 0.727
Task time, 0.742
Task time, 1.393
Task time, 0.754
Task time, 0.766
Task time, 0.758
Task time, 0.778
Task time, 0.729
Task time, 0.854
Task time, 0.745
Task time, 0.84
Task time, 0.982
Task time, 0.696
Task time, 0.749
Task time, 0.767
Task time, 0.731
Task time, 1.187
Task time, 1.165
Task time, 0.901
Task time, 0.792
Task time, 0.765
Task time, 0.772
Task time, 1.52
Task time, 0.732
Task time, 0.775
Task time, 0.856
Task time, 1.267
Task time, 0.897
Task time, 1.411
Task time, 0.749
Task time, 1.123
Task time, 1.103
Task time, 0.792
Task time, 1.116
Task time, 0.759
Task time, 0.885
Task time, 0.757
Task time, 0.746
Task time, 0.806
Task time, 0.696
Task time, 0.753
Task time, 0.707
Task time, 0.789
Task time, 0.73
Task time, 0.707
Task time, 0.753
Task time, 0.734
Task time, 0.86
Task time, 0.725
Task time, 1.296
Task time, 1.034
Task time, 0.752
Task time, 1.031
Task time, 1.658
Task time, 0.766
Task time, 0.773
Task time, 0.815
Task time, 0.717
Task time, 1.727
Task time, 1.483
Task time, 0.836
Task time, 0.816
Task time, 1.534
Task time, 0.889
Task time, 0.897
Task time, 0.936
Task time, 1.139
Task time, 0.984
Task time, 1.569
Task time, 0.887
Task time, 1.181
Task time, 0.847
Task time, 0.834
Task time, 0.823
Task time, 0.909
Task time, 0.934
Task time, 1.444
Task time, 0.812
Task time, 0.786
Task time, 0.859
Task time, 1.515
Task time, 0.843
Task time, 1.61
Task time, 1.0
Task time, 0.897
Task time, 0.953
Task time, 1.888
Task time, 1.347
Task time, 1.274
Task time, 1.248
Task time, 1.624
Task time, 1.212
Task time, 0.924
Task time, 0.917
Task time, 1.123
Task time, 1.324
