Component, Time (ms)
Task time, 7.683
Task time, 0.237
Task time, 0.445
Task time, 0.357
Task time, 0.34
Task time, 0.246
Task time, 0.334
Task time, 0.257
Task time, 0.335
Task time, 0.355
Task time, 0.236
Task time, 0.127
Task time, 0.127
Task time, 0.127
Task time, 0.127
Task time, 0.126
Task time, 0.123
Task time, 0.128
Task time, 0.127
Task time, 0.146
Task time, 0.125
Task time, 0.302
Task time, 0.221
Task time, 0.131
Task time, 0.23
Task time, 0.302
Task time, 0.221
Task time, 0.127
Task time, 0.261
Task time, 0.124
Task time, 0.146
Task time, 0.219
Task time, 0.304
Task time, 0.223
Task time, 0.223
Task time, 0.304
Task time, 0.178
Task time, 0.304
Task time, 0.175
Task time, 0.176
Task time, 0.131
Task time, 0.305
Task time, 0.306
Task time, 0.281
Task time, 0.126
Task time, 0.226
Task time, 0.185
Task time, 0.185
Task time, 0.325
Task time, 0.127
Task time, 0.279
Task time, 0.132
Task time, 0.234
Task time, 0.227
Task time, 0.188
Task time, 0.282
Task time, 0.128
Task time, 0.18
Task time, 0.129
Task time, 0.406
Task time, 0.228
Task time, 0.228
Task time, 0.228
Task time, 0.228
Task time, 0.235
Task time, 0.181
Task time, 0.131
Task time, 0.231
Task time, 0.187
Task time, 0.181
Task time, 0.311
Task time, 0.127
Task time, 0.313
Task time, 0.302
Task time, 0.135
Task time, 0.18
Task time, 0.224
Task time, 0.127
Task time, 0.131
Task time, 0.139
Task time, 0.236
Task time, 0.133
Task time, 0.229
Task time, 0.181
Task time, 0.129
Task time, 0.141
Task time, 0.133
Task time, 0.129
Task time, 0.128
Task time, 0.127
Task time, 0.128
Task time, 0.127
Task time, 0.128
Task time, 0.129
Task time, 0.135
Task time, 0.128
Task time, 0.129
Task time, 0.153
Task time, 0.276
Task time, 0.13
Task time, 0.316
Task time, 0.154
Task time, 0.318
Task time, 0.162
Task time, 0.236
Task time, 0.138
Task time, 0.241
Task time, 0.24
Task time, 0.246
Task time, 0.261
Task time, 0.146
Task time, 0.145
Task time, 0.137
Task time, 0.144
Task time, 0.243
Task time, 0.178
Task time, 0.196
Task time, 0.17
Task time, 0.146
Task time, 0.138
Task time, 0.251
Task time, 0.289
Task time, 0.274
Task time, 0.148
Task time, 0.271
Task time, 0.314
Task time, 0.153
Task time, 0.178
Task time, 0.214
Task time, 0.364
Task time, 0.375
Task time, 0.183
Task time, 0.28
Task time, 0.155
Task time, 0.159
Task time, 0.16
Task time, 0.368
Task time, 0.156
Task time, 0.214
Task time, 0.158
Task time, 0.156
Task time, 0.174
Task time, 0.153
Task time, 0.162
Task time, 0.152
Task time, 0.166
Task time, 0.18
Task time, 0.158
Task time, 0.165
Task time, 0.291
Task time, 0.316
Task time, 0.186
Task time, 0.267
Task time, 0.153
Task time, 0.16
Task time, 0.157
Task time, 0.166
Task time, 0.24
Task time, 0.162
Task time, 0.25
Task time, 0.16
Task time, 0.167
Task time, 0.171
Task time, 0.16
Task time, 0.168
Task time, 0.239
Task time, 0.196
Task time, 0.18
Task time, 0.185
Task time, 0.28
Task time, 0.206
Task time, 0.194
Task time, 0.192
Task time, 0.202
Task time, 0.211
Task time, 0.21
Task time, 0.228
Task time, 0.227
Task time, 0.258
Task time, 0.319
Task time, 0.234
Task time, 0.233
Task time, 0.356
Task time, 0.23
Task time, 0.395
Task time, 0.333
Task time, 0.393
Task time, 0.212
Task time, 0.365
Task time, 0.296
Task time, 0.387
Task time, 0.219
Task time, 0.376
Task time, 0.33
Task time, 0.434
Task time, 0.442
Task time, 0.27
Task time, 0.237
Task time, 0.232
Task time, 0.428
Task time, 0.258
Task time, 0.264
Task time, 0.256
Task time, 0.474
Task time, 0.371
Task time, 0.65
Task time, 0.322
Task time, 0.309
Task time, 0.482
Task time, 0.248
Task time, 0.256
Task time, 0.46
Task time, 0.604
Task time, 0.554
Task time, 0.412
Task time, 0.455
Task time, 0.266
Task time, 0.35
Task time, 0.245
Task time, 0.422
Task time, 0.248
Task time, 0.334
Task time, 0.243
Task time, 0.37
Task time, 0.406
Task time, 0.496
Task time, 0.475
Task time, 0.279
Task time, 0.462
Task time, 0.377
Task time, 0.258
Task time, 0.304
Task time, 0.301
Task time, 0.668
Task time, 0.554
Task time, 0.28
Task time, 0.27
Task time, 0.281
Task time, 0.269
Task time, 0.326
Task time, 0.263
Task time, 0.274
Task time, 0.285
Task time, 0.277
Task time, 0.253
Task time, 0.348
Task time, 0.237
Task time, 0.273
Task time, 0.262
Task time, 0.264
Task time, 0.314
Task time, 0.284
Task time, 0.309
Task time, 0.311
Task time, 0.279
Task time, 0.296
Task time, 0.292
Task time, 0.323
Task time, 0.287
Task time, 0.272
Task time, 0.276
Task time, 0.277
Task time, 0.29
Task time, 0.293
Task time, 0.288
Task time, 0.293
Task time, 0.3
Task time, 0.296
Task time, 0.288
Task time, 0.308
Task time, 0.288
Task time, 0.306
Task time, 0.328
Task time, 0.328
Task time, 0.322
Task time, 0.794
Task time, 0.316
Task time, 0.562
Task time, 0.365
Task time, 0.657
Task time, 0.714
Task time, 0.541
Task time, 0.366
Task time, 0.494
Task time, 0.287
Task time, 0.627
Task time, 0.502
Task time, 0.672
Task time, 0.475
Task time, 0.343
Task time, 0.718
Task time, 0.745
Task time, 0.313
Task time, 0.755
Task time, 0.311
Task time, 0.777
Task time, 0.366
Task time, 0.784
Task time, 0.819
Task time, 0.463
Task time, 0.344
Task time, 0.315
Task time, 0.359
Task time, 0.626
Task time, 0.584
Task time, 0.584
Task time, 0.609
Task time, 0.639
Task time, 0.417
Task time, 0.543
Task time, 0.766
Task time, 0.386
Task time, 0.843
Task time, 0.943
Task time, 0.615
Task time, 0.383
Task time, 0.884
Task time, 0.428
Task time, 0.852
Task time, 0.982
Task time, 0.573
Task time, 0.392
Task time, 0.465
Task time, 0.786
Task time, 0.982
Task time, 0.723
Task time, 0.389
Task time, 0.558
Task time, 0.867
Task time, 0.982
Task time, 0.734
Task time, 0.47
Task time, 0.97
Task time, 0.416
Task time, 0.422
Task time, 0.932
Task time, 0.446
Task time, 1.068
Task time, 0.764
Task time, 0.805
Task time, 0.864
Task time, 0.485
Task time, 0.874
Task time, 0.494
Task time, 0.875
Task time, 1.164
Task time, 0.958
Task time, 0.956
Task time, 0.976
Task time, 1.271
Task time, 0.995
Task time, 1.178
Task time, 0.993
Task time, 1.271
Task time, 0.633
Task time, 1.295
Task time, 0.505
Task time, 0.751
Task time, 0.522
Task time, 1.135
Task time, 0.596
Task time, 1.03
Task time, 1.433
Task time, 1.021
Task time, 0.837
Task time, 1.197
Task time, 0.597
Task time, 1.415
Task time, 0.918
Task time, 1.45
Task time, 0.641
Task time, 1.205
Task time, 1.431
Task time, 1.22
Task time, 1.672
Task time, 1.503
Task time, 0.654
Task time, 1.181
Task time, 1.179
Task time, 1.334
Task time, 1.687
Task time, 1.518
Task time, 1.25
Task time, 1.246
Task time, 1.504
Task time, 0.967
Task time, 0.906
Task time, 1.235
Task time, 0.677
Task time, 0.793
Task time, 0.683
Task time, 0.646
Task time, 0.982
Task time, 0.814
Task time, 1.301
Task time, 1.313
Task time, 1.013
Task time, 1.648
Task time, 1.326
Task time, 1.621
Task time, 1.788
Task time, 1.234
Task time, 1.529
Task time, 1.357
Task time, 1.554
Task time, 1.731
Task time, 1.489
Task time, 1.28
Task time, 1.729
Task time, 1.513
Task time, 1.458
Task time, 0.944
Task time, 1.043
Task time, 1.441
Task time, 0.906
Task time, 0.931
Task time, 0.901
Task time, 1.27
Task time, 0.874
Task time, 0.733
Task time, 0.729
Task time, 0.766
Task time, 0.734
Task time, 1.378
Task time, 0.797
Task time, 0.789
Task time, 0.797
Task time, 0.782
Task time, 0.777
Task time, 0.781
Task time, 0.722
Task time, 0.728
Task time, 0.73
Task time, 0.733
Task time, 1.111
Task time, 0.711
Task time, 0.734
Task time, 1.434
Task time, 1.384
Task time, 0.79
Task time, 1.034
Task time, 0.792
Task time, 0.797
Task time, 0.725
Task time, 0.712
Task time, 0.849
Task time, 0.767
Task time, 0.733
Task time, 0.736
Task time, 0.72
Task time, 0.777
Task time, 0.728
Task time, 0.752
Task time, 0.755
Task time, 0.786
Task time, 0.76
Task time, 0.786
Task time, 0.751
Task time, 0.72
Task time, 0.732
Task time, 0.739
Task time, 0.748
Task time, 0.842
Task time, 0.741
Task time, 0.774
Task time, 0.755
Task time, 0.768
Task time, 0.819
Task time, 0.815
Task time, 0.912
Task time, 0.854
Task time, 0.904
Task time, 0.826
Task time, 0.892
Task time, 1.247
Task time, 0.862
Task time, 0.83
Task time, 1.519
Task time, 1.666
Task time, 0.905
Task time, 1.638
Task time, 0.891
Task time, 0.87
Task time, 0.895
Task time, 0.851
Task time, 0.838
Task time, 0.846
Task time, 0.901
Task time, 0.89
Task time, 0.847
Task time, 0.872
Task time, 1.233
Task time, 0.89
Task time, 1.136
Task time, 0.857
Task time, 0.851
Task time, 0.908
Task time, 1.587
Task time, 0.909
Task time, 1.285
Task time, 1.153
Task time, 0.9
Task time, 0.91
Task time, 0.94
Task time, 0.878
Task time, 1.024
Task time, 0.905
Task time, 0.868
Task time, 0.898
Task time, 1.296
Task time, 0.953
Task time, 1.713
Task time, 0.928
Task time, 0.889
Task time, 0.87
Task time, 1.076
Task time, 0.886
Task time, 1.322
Task time, 0.894
Task time, 0.905
Task time, 0.884
Task time, 0.939
Task time, 0.855
Task time, 0.818
Task time, 0.806
Task time, 0.781
Task time, 0.775
Task time, 0.894
Task time, 0.755
Task time, 0.751
Task time, 0.791
Task time, 0.768
Task time, 1.353
Task time, 0.769
Task time, 1.297
Task time, 0.842
Task time, 0.735
Task time, 0.75
Task time, 0.749
Task time, 0.74
Task time, 1.356
Task time, 0.839
Task time, 0.834
Task time, 0.734
Task time, 1.637
Task time, 0.813
Task time, 0.726
Task time, 0.725
Task time, 0.696
Task time, 0.733
Task time, 0.724
Task time, 0.731
Task time, 0.708
Task time, 1.318
Task time, 1.02
Task time, 0.705
Task time, 0.953
Task time, 0.859
Task time, 0.942
Task time, 1.203
Task time, 1.257
Task time, 0.723
Task time, 1.158
Task time, 0.627
Task time, 0.667
Task time, 0.673
Task time, 0.943
Task time, 0.679
Task time, 0.658
Task time, 0.654
Task time, 0.625
Task time, 0.707
Task time, 0.68
Task time, 0.672
Task time, 0.649
Task time, 0.691
Task time, 0.789
Task time, 0.968
Task time, 0.69
Task time, 0.755
Task time, 0.668
Task time, 0.679
Task time, 0.733
Task time, 1.46
Task time, 0.647
Task time, 0.65
Task time, 1.217
Task time, 0.816
Task time, 0.665
Task time, 0.658
Task time, 0.671
Task time, 0.635
Task time, 0.617
Task time, 0.731
Task time, 0.659
Task time, 0.694
Task time, 1.398
