Component, Time (ms)
Task time, 5.097
Task time, 0.314
Task time, 0.42
Task time, 0.692
Task time, 0.324
Task time, 0.234
Task time, 0.361
Task time, 0.329
Task time, 0.335
Task time, 0.39
Task time, 0.419
Task time, 0.301
Task time, 0.222
Task time, 0.301
Task time, 0.302
Task time, 0.221
Task time, 0.222
Task time, 0.301
Task time, 0.302
Task time, 0.222
Task time, 0.177
Task time, 0.344
Task time, 0.302
Task time, 0.176
Task time, 0.451
Task time, 0.123
Task time, 0.312
Task time, 0.303
Task time, 0.223
Task time, 0.71
Task time, 0.222
Task time, 0.176
Task time, 0.115
Task time, 0.304
Task time, 0.303
Task time, 0.304
Task time, 0.147
Task time, 0.223
Task time, 0.304
Task time, 0.124
Task time, 0.38
Task time, 0.18
Task time, 0.126
Task time, 0.306
Task time, 0.126
Task time, 0.307
Task time, 0.225
Task time, 0.308
Task time, 0.309
Task time, 0.309
Task time, 0.197
Task time, 0.309
Task time, 0.31
Task time, 0.227
Task time, 0.341
Task time, 0.284
Task time, 0.31
Task time, 0.323
Task time, 0.31
Task time, 0.31
Task time, 0.227
Task time, 0.227
Task time, 0.31
Task time, 0.186
Task time, 0.311
Task time, 0.18
Task time, 0.311
Task time, 0.154
Task time, 0.322
Task time, 0.311
Task time, 0.32
Task time, 0.363
Task time, 0.322
Task time, 0.311
Task time, 0.24
Task time, 0.311
Task time, 0.186
Task time, 0.231
Task time, 0.228
Task time, 0.399
Task time, 0.311
Task time, 0.24
Task time, 0.312
Task time, 0.181
Task time, 0.311
Task time, 0.127
Task time, 0.371
Task time, 0.313
Task time, 0.312
Task time, 0.312
Task time, 0.313
Task time, 0.23
Task time, 0.313
Task time, 0.321
Task time, 0.313
Task time, 0.128
Task time, 0.313
Task time, 0.314
Task time, 0.314
Task time, 0.315
Task time, 0.241
Task time, 0.317
Task time, 0.184
Task time, 0.359
Task time, 0.153
Task time, 0.321
Task time, 0.125
Task time, 0.325
Task time, 0.16
Task time, 0.331
Task time, 0.16
Task time, 0.341
Task time, 0.333
Task time, 0.345
Task time, 0.292
Task time, 0.337
Task time, 0.196
Task time, 0.348
Task time, 0.339
Task time, 0.337
Task time, 0.345
Task time, 0.341
Task time, 0.35
Task time, 0.357
Task time, 0.36
Task time, 0.273
Task time, 0.372
Task time, 0.221
Task time, 0.369
Task time, 0.175
Task time, 0.416
Task time, 0.381
Task time, 0.215
Task time, 0.375
Task time, 0.182
Task time, 0.157
Task time, 0.151
Task time, 0.167
Task time, 0.403
Task time, 0.215
Task time, 0.284
Task time, 0.282
